[2026-05-09 19:37:18] [INFO] [SimulationController] Running simulation for model id=3 | action=runSimulation
[2026-05-09 19:37:18] [INFO] [SimulationController] Simulation completed for model id=3 | action=runSimulation
[2026-05-09 19:38:47] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 19:38:58] [INFO] [SimulationController] Running simulation for model id=2 | action=runSimulation
[2026-05-09 19:38:58] [INFO] [SimulationController] Simulation completed for model id=2 | action=runSimulation
[2026-05-09 19:42:08] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 19:42:08] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 19:47:08] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 19:47:08] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 19:50:54] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 19:52:08] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 19:52:08] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 19:57:08] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 19:57:08] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 19:59:00] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 20:02:08] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 20:02:08] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 20:03:12] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 20:03:42] [INFO] [SimulationController] Running simulation for model id=2 | action=runSimulation
[2026-05-09 20:03:42] [INFO] [SimulationController] Simulation completed for model id=2 | action=runSimulation
[2026-05-09 20:05:03] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 20:05:29] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 20:07:08] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 20:07:08] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 20:12:08] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 20:12:08] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 20:13:34] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 20:17:08] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 20:17:08] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 20:17:20] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 20:19:46] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 20:22:08] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 20:22:08] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 20:23:35] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 20:23:51] [INFO] [ProcessModelController] Updated TaskDefinition id=1 for element Event_1w3xlul | action=syncTaskDefinitions
[2026-05-09 20:23:51] [INFO] [ProcessModelController] Updated TaskDefinition id=2 for element Gateway_0e1j0h1 | action=syncTaskDefinitions
[2026-05-09 20:23:51] [INFO] [ProcessModelController] Process model updated: Diagram_2 (id=3, version=7) | action=update
[2026-05-09 20:27:08] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 20:27:08] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 20:27:57] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 20:29:52] [INFO] [ProcessModelController] Creating process model: Test 1 | action=create
[2026-05-09 20:29:52] [INFO] [ProcessModelController] Created TaskDefinition for element Event_00s2mtx | action=syncTaskDefinitions
[2026-05-09 20:29:52] [INFO] [ProcessModelController] Created TaskDefinition for element Event_1xl1zrc | action=syncTaskDefinitions
[2026-05-09 20:29:52] [INFO] [ProcessModelController] Created TaskDefinition for element Event_1i55jtq | action=syncTaskDefinitions
[2026-05-09 20:29:52] [INFO] [ProcessModelController] Process model created: Test 1 (id=4) | action=create
[2026-05-09 20:32:08] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 20:32:08] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
